Command	Type
solvestep	keyword.control	solvestep(X=a,b,step,expr,{flag=0}): find zeros of a function in the real interval [a,b] by naive interval splitting.
sqr	entity.name.function	sqr(x): square of x. NOT identical to x*x.
sqrt	entity.name.function	sqrt(x): square root of x.
sqrtint	entity.name.function	sqrtint(x,{&r}): integer square root y of x, where x is a nonnegative real number. If r is present, set it to the remainder x - y^2.
sqrtn	entity.name.function	sqrtn(x,n,{&z}): nth-root of x, n must be integer. If present, z is set to a suitable root of unity to recover all solutions. If it was not possible, z is set to zero.
sqrtnint	entity.name.function	sqrtnint(x,n): integer n-th root of x, where x is nonnegative real number.
stirling	entity.name.function	stirling(n,k,{flag=1}): if flag=1 (default) return the Stirling number of the first kind s(n,k), if flag=2, return the Stirling number of the second kind S(n,k).
strchr	entity.name.function	strchr(x): converts integer or vector of integers x to a string, translating each integer into a character using ASCII encoding.
strexpand	entity.name.function	strexpand({x}*): concatenates its (string) arguments into a single string, performing tilde expansion.
strjoin	entity.name.function	strjoin(v,{p = ""}): joins the strings in vector v, separating them with delimiter p.
strprintf	entity.name.function	strprintf(fmt,{x}*): returns a string built from the remaining arguments according to the format fmt.
strsplit	entity.name.function	strsplit(s,{p = ""}): splits the string s into a vector of strings, with p acting as a delimiter between successive fields; if p is empty or omitted, split into characters.
strtex	entity.name.function	strtex({x}*): translates its (string) arguments to TeX format and returns the resulting string.
strtime	entity.name.function	strtime(t): return a string describing the time t in milliseconds, in the format used by the GP timer.
subcyclohminus	entity.name.function	subcyclohminus(fH, {p=0}): Let F be the abelian number field contained in Q(zeta_f) corresponding to the subgroup H of (Z/fZ)^*. Let h be the relative class number h^-(F) and Q the Hasse unit index in {1,2}. If Q could be computed, return [h, Q]; else return [2h/Q, 0].
subcycloiwasawa	entity.name.function	subcycloiwasawa(fH, p, {n=0}): Let F be the abelian number field contained in Q(zeta_f) corresponding to the subgroup H of (Z/fZ)^*. Returns the minus part of Iwasawa polynomials attached to the cyclotomic Z_p extension of F.
subcyclopclgp	entity.name.function	subcyclopclgp(fH, p, {flag=0}): Let F be the abelian number field contained in Q(zeta_f) corresponding to the subgroup H of (Z/fZ)^*. Returns the minus part of Iwasawa polynomials attached to the ideal class group of F.
subgrouplist	entity.name.function	subgrouplist(cyc,{bound},{flag=0}): cyc being any object which has a '.cyc' method giving the cyclic components for a finite Abelian group G, outputs the list of subgroups of G (of index bounded by bound, if not omitted), given as HNF left divisors of the SNF matrix corresponding to G. If flag=0 (default) and 'cyc' is a bnr struture output by bnrinit, gives only the subgroups for which the modulus is the conductor.
subst	entity.name.function	subst(x,y,z): in expression x, replace the variable y by the expression z.
substpol	entity.name.function	substpol(x,y,z): in expression x, replace the polynomial y by the expression z, using remainder decomposition of x.
substvec	entity.name.function	substvec(x,v,w): in expression x, make a best effort to replace the variables v1,...,vn by the expression w1,...,wn.
sum	keyword.control	sum(X=a,b,expr,{x=0}): x plus the sum (X goes from a to b) of expression expr.
sumalt	keyword.control	sumalt(X=a,expr,{flag=0}): Cohen-Villegas-Zagier's acceleration of alternating series expr, X starting at a. flag is optional, and can be 0: default, or 1: uses a slightly different method using Zagier's polynomials.
sumdedekind	entity.name.function	sumdedekind(h,k): Dedekind sum attached to h,k.
sumdigits	entity.name.function	sumdigits(n,{B=10}): sum of digits in the integer |n|, when written in base B.
sumdiv	keyword.control	sumdiv(n,X,expr): sum of expression expr, X running over the divisors of n.
sumdivmult	keyword.control	sumdivmult(n,d,expr): sum of multiplicative function expr, d running over the divisors of n.
sumeulerrat	entity.name.function	sumeulerrat(F,{s=1},{a=2}): sum from primes p = a to infinity of F(p^s), where F is a rational function.
sumformal	entity.name.function	sumformal(f,{v}): formal sum of f with respect to v, or to the main variable of f if v is omitted.
suminf	keyword.control	suminf(X=a,expr): naive summation (X goes from a to infinity) of real or complex expression expr.
sumnum	keyword.control	sumnum(n=a,f,{tab}): numerical summation of f(n) from n = a to +infinity using Euler-MacLaurin summation. Assume that f corresponds to a series with positive terms and is a C^oo function; a must be an integer, and tab, if given, is the output of sumnuminit.
sumnumap	keyword.control	sumnumap(n=a,f,{tab}): numerical summation of f(n) from n = a to +infinity using Abel-Plana formula. Assume that f is holomorphic in the right half-plane Re(z) > a; a must be an integer, and tab, if given, is the output of sumnumapinit.
sumnumapinit	entity.name.function	sumnumapinit({asymp}): initialize tables for Abel-Plana summation of a series.
sumnuminit	entity.name.function	sumnuminit({asymp}): initialize tables for Euler-MacLaurin delta summation of a series with positive terms.
sumnumlagrange	keyword.control	sumnumlagrange(n=a,f,{tab}): numerical summation of f(n) from n = a to +infinity using Lagrange summation. a must be an integer, and tab, if given, is the output of sumnumlagrangeinit.
sumnumlagrangeinit	entity.name.function	sumnumlagrangeinit({asymp}, {c1}): initialize tables for Lagrange summation of a series.
sumnummonien	keyword.control	sumnummonien(n=a,f,{tab}): numerical summation from n = a to +infinity using Monien summation.
sumnummonieninit	entity.name.function	sumnummonieninit({asymp},{w},{n0 = 1}): initialize tables for Monien summation of a series with positive terms.
sumnumrat	entity.name.function	sumnumrat(F,a): sum from n = a to infinity of F(n), where F is a rational function of degree less than or equal to -2.
sumnumsidi	keyword.control	sumnumsidi(n=a,f,{safe=1}): numerical summation of f(n) from n = a to +infinity using Sidi summation; a must be an integer. If safe is set to 0, the function is faster but much less robust.
sumpos	keyword.control	sumpos(X=a,expr,{flag=0}): sum of positive (or negative) series expr, the formal variable X starting at a. flag is optional, and can be 0: default, or 1: uses a slightly different method using Zagier's polynomials.
system	entity.name.function	system(str): str being a string, execute the system command str.
tan	entity.name.function	tan(x): tangent of x.
tanh	entity.name.function	tanh(x): hyperbolic tangent of x.
taylor	entity.name.function	taylor(x,t,{d=seriesprecision}): taylor expansion of x with respect to t, adding O(t^d) to all components of x.
teichmuller	entity.name.function	teichmuller(x,{tab}): Teichmuller character of p-adic number x. If x = [p,n], return the lifts of all teichmuller(i + O(p^n)) for i = 1, ..., p-1. Such a vector can be fed back to teichmuller, as the optional argument tab, to speed up later computations.
theta	entity.name.function	theta(q,z): Jacobi sine theta-function.
thetanullk	entity.name.function	thetanullk(q,k): k-th derivative at z=0 of theta(q,z).
thue	entity.name.function	thue(tnf,a,{sol}): solve the equation P(x,y)=a, where tnf was created with thueinit(P), and sol, if present, contains the solutions of Norm(x)=a modulo units in the number field defined by P. If tnf was computed without assuming GRH (flag 1 in thueinit), the result is unconditional. If tnf is a polynomial, compute thue(thueinit(P,0), a).
thueinit	entity.name.function	thueinit(P,{flag=0}): initialize the tnf corresponding to P, that will be used to solve Thue equations P(x,y) = some-integer. If flag is nonzero, certify the result unconditionally. Otherwise, assume GRH (much faster of course).
trace	entity.name.function	trace(x): trace of x.
trap	entity.name.function	trap({e}, {rec}, seq): this function is obsolete, use "iferr". Try to execute seq, trapping runtime error e (all of them if e omitted); sequence rec is executed if the error occurs and is the result of the command.
truncate	entity.name.function	truncate(x,{&e}): truncation of x; when x is a power series,take away the O(X^). If e is present, do not take into account loss of integer part precision, and set e = error estimate in bits.
type	entity.name.function	type(x): return the type of the GEN x.
unexport	keyword.control	unexport(x,...,z): remove x,...,z from the list of variables exported to the parallel world.
unexportall	entity.name.function	unexportall(): empty the list of variables exported to the parallel world.
uninline	keyword.control	uninline(): forget all inline variables. DEPRECATED, use export.
until	keyword.control	until(a,seq): evaluate the expression sequence seq until a is nonzero.
valuation	entity.name.function	valuation(x,{p}): valuation of x with respect to p.
varhigher	entity.name.function	varhigher(name,{v}): return a variable 'name' whose priority is higher than the priority of v (of all existing variables if v is omitted).
variable	entity.name.function	variable({x}): main variable of object x. Gives p for p-adic x, 0 if no variable can be attached to x. Returns the list of user variables if x is omitted.
variables	entity.name.function	variables({x}): all variables occurring in object x, sorted by decreasing priority. Returns the list of user variables if x is omitted.
varlower	entity.name.function	varlower(name,{v}): return a variable 'name' whose priority is lower than the priority of v (of all existing variables if v is omitted.
vecextract	entity.name.function	vecextract(x,y,{z}): extraction of the components of the matrix or vector x according to y and z. If z is omitted, y represents columns, otherwise y corresponds to rows and z to columns. y and z can be vectors (of indices), strings (indicating ranges as in "1..10") or masks (integers whose binary representation indicates the indices to extract, from left to right 1, 2, 4, 8, etc.).
vecmax	entity.name.function	vecmax(x,{&v}): largest entry in the vector/matrix x. If v is present, set it to the index of a largest entry (indirect max).
vecmin	entity.name.function	vecmin(x,{&v}): smallest entry in the vector/matrix x. If v is present, set it to the index of a smallest entry (indirect min).
